sampleID	plant	syncom	treatment	generation	line	sample_type	condition
g16_c37	gifu	mixed	non-native	16	c37	competition	gifu_mixed
g16_c38	gifu	mixed	non-native	16	c38	competition	gifu_mixed
g16_c39	gifu	mixed	non-native	16	c39	competition	gifu_mixed
g16_c41	col0	mixed	non-native	16	c41	competition	col0_mixed
g16_c42	col0	mixed	non-native	16	c42	competition	col0_mixed
g16_c43	col0	mixed	non-native	16	c43	competition	col0_mixed
g16_c44	gifu	mixed	non-native	16	c44	competition	gifu_mixed
g16_c45	gifu	mixed	non-native	16	c45	competition	gifu_mixed
g16_c46	gifu	mixed	non-native	16	c46	competition	gifu_mixed
g16_c47	col0	mixed	non-native	16	c47	competition	col0_mixed
g16_c48	col0	mixed	non-native	16	c48	competition	col0_mixed
g16_c49	col0	mixed	non-native	16	c49	competition	col0_mixed
g16_c50	gifu	mixed	non-native	16	c50	competition	gifu_mixed
g16_c51	gifu	mixed	non-native	16	c51	competition	gifu_mixed
g16_c52	gifu	mixed	non-native	16	c52	competition	gifu_mixed
