strain	log2(PTR)	sampleID	plant	syncom	treatment	generation	line	sample_type	condition
LjNodule218	0.07928669239173086	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot17	0.08996926760457563	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot1	0.03959970395868012	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot222	0.06968765406488103	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot262	0.010474342204732753	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot33	0.019084876578642555	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot44	0.09031991546084768	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot46	0.09343137425001302	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot52	0.09435317954195833	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot59	0.02520587557255404	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot72	0.1300031071500947	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot80	0.019728222500322003	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot82	0.03716650511975041	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root123D2	0.08741593823705482	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root1310	0.04383017976594425	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root265	0.014130209887384095	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root29	0.10733599837359788	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root418	0.05830453919392502	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root480	0.052859480068147675	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root61	0.03037905824386545	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root685	0.1430926672408159	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root68	0.05323718015371078	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root695	0.11740033725722225	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root720	0.10225632549573704	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root77	0.014024958536852327	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root83	0.05939200842988177	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root935	0.060234259810883706	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjNodule218	0.08965863224331597	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
LjRoot1	0.1456326493147153	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
LjRoot222	0.12853991981039473	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
LjRoot262	0.04065560488317423	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
LjRoot33	0.03246106153897062	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
LjRoot44	0.08012930598920068	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
LjRoot46	0.10877031522610259	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
LjRoot52	0.1637157788922464	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
LjRoot59	0.031184958445453	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
LjRoot72	0.04419909289796131	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
LjRoot80	0.019320311010638885	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
LjRoot82	0.06823072100252014	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
Root123D2	0.047421822908193655	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
Root1310	0.0517409150142349	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
Root265	0.03535117994798653	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
Root418	0.04175520164543651	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
Root480	0.08786954681402323	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
Root61	0.03413856710415024	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
Root685	0.08474592442852547	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
Root68	0.061393614527429384	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
Root695	0.18649997301532623	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
Root77	0.024110856685027524	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
Root83	0.20428570703822307	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
Root935	0.04400000427716253	g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
LjNodule218	0.052697648842637806	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
LjRoot17	0.07735161604527031	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
LjRoot1	0.10561353508977453	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
LjRoot222	0.09052899868404997	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
LjRoot262	0.016930720185485564	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
LjRoot33	0.018292590081098816	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
LjRoot44	0.03204666381954733	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
LjRoot46	0.2046231004603302	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
LjRoot52	0.10948289167373619	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
LjRoot59	0.024959353197629833	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
LjRoot72	0.08478091246602462	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
LjRoot80	0.01712626839634162	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
LjRoot82	0.031030320905718518	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
Root123D2	0.05780493279485975	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
Root1310	0.09095763255370581	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
Root265	0.031870799102241214	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
Root418	0.024140793511116428	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
Root480	0.021001158032139585	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
Root61	0.025881637603831917	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
Root685	0.0778235408503934	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
Root68	0.02414954950233807	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
Root695	0.12437705614791894	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
Root720	0.053821598913272525	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
Root77	0.05598249887032844	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
Root83	0.01968192911297801	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
Root935	0.03729547004671297	g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
LjNodule218	0.10991169500078071	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
LjRoot1	0.037718018726443245	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
LjRoot222	0.17743393379124783	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
LjRoot262	0.03005097272314585	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
LjRoot33	0.046769709666907466	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
LjRoot44	0.018536822270828254	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
LjRoot46	0.11465042845470691	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
LjRoot52	0.15889699907418828	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
LjRoot59	0.03127461433028714	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
LjRoot72	0.10718115281424645	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
LjRoot80	0.052130288669774066	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
LjRoot82	0.0628471272007661	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
Root123D2	0.10196738574778459	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
Root1310	0.05637574337323338	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
Root265	0.02512677246545857	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
Root418	0.027816736249633024	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
Root480	0.028605436889024734	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
Root61	0.023672824466281026	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
Root685	0.09289532690737859	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
Root68	0.07026123061147707	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
Root695	0.16328127957821512	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
Root77	0.011301735667502793	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
Root83	0.1596729514957818	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
Root935	0.07178477091544089	g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
LjNodule218	0.09929718851552485	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
LjRoot17	0.07641636523131343	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
LjRoot1	0.035515423145192807	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
LjRoot222	0.08586687965617852	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
LjRoot262	0.017418960301448263	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
LjRoot33	0.021944976236875108	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
LjRoot44	0.06234172898898734	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
LjRoot52	0.04254588941243795	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
LjRoot59	0.01321670460074143	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
LjRoot72	0.044604157355866925	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
LjRoot80	0.04711320012008126	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
LjRoot82	0.04839740732302109	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
Root123D2	0.030364180704367808	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
Root1310	0.07735348405992382	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
Root265	0.033698129846697546	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
Root29	0.11193714833745651	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
Root418	0.03963082505581917	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
Root480	0.04598234913315489	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
Root61	0.03526361762111927	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
Root685	0.13031432468865525	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
Root68	0.06356971039324527	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
Root695	0.07398912166100623	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
Root720	0.02977938132422361	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
Root77	0.0469669737791893	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
Root83	0.06158633074774338	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
Root935	0.047522486987488254	g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
LjNodule218	0.07694181754951568	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
LjRoot1	0.04859329268493493	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
LjRoot222	0.16278718725318367	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
LjRoot262	0.017534961036505644	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
LjRoot33	0.08735943704339304	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
LjRoot44	0.059766819111203275	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
LjRoot46	0.1199992215760612	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
LjRoot52	0.1559087905992006	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
LjRoot59	0.1844035262783616	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
LjRoot72	0.18063517213419272	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
LjRoot80	0.03242960897574975	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
LjRoot82	0.10216272903828064	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
Root123D2	0.08218614059426436	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
Root1310	0.08358663319027633	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
Root265	0.04787625884895573	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
Root29	0.01986920082718792	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
Root418	0.024678979476565437	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
Root480	0.07046738466259186	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
Root61	0.06454428856464528	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
Root68	0.044018219833290066	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
Root695	0.11554763717144208	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
Root77	0.06940831219795891	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
Root83	0.1037478523870996	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
Root935	0.11260418690338193	g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
LjNodule218	0.07769219917271654	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
LjRoot1	0.15242565939626068	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
LjRoot222	0.10664552018770793	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
LjRoot262	0.031532146597348515	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
LjRoot33	0.05943408304486135	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
LjRoot44	0.045574203460642844	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
LjRoot46	0.09912371531646559	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
LjRoot52	0.04547088247345548	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
LjRoot59	0.020852463144144764	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
LjRoot72	0.17046236971343284	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
LjRoot80	0.09618625615455774	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
LjRoot82	0.03788564989134073	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
Root123D2	0.07453100500351197	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
Root1310	0.05497795029838292	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
Root265	0.016618110018785864	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
Root418	0.022230151714424	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
Root480	0.022054844069753332	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
Root61	0.05890005527205216	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
Root685	0.02919751572452755	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
Root68	0.06512535291697237	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
Root695	0.0863551267615684	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
Root720	0.0445657981578488	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
Root77	0.05120076925840469	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
Root83	0.05167271279886132	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
Root935	0.06203568002424785	g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
LjNodule218	0.06907244378996963	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
LjRoot222	0.20020150156024158	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
LjRoot262	0.023250692014822032	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
LjRoot33	0.012067113100418967	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
LjRoot44	0.14293514504830418	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
LjRoot52	0.05065439518297893	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
LjRoot59	0.01647991431326948	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
LjRoot72	0.06528526833759281	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
LjRoot80	0.09203863966620474	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
LjRoot82	0.04462146556280314	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
Root123D2	0.06251438370842617	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
Root1310	0.11093615129191843	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
Root265	0.06568037506199088	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
Root418	0.05518984838149618	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
Root480	0.04498445309017086	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
Root61	0.13161520825541206	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
Root695	0.09120856187584521	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
Root77	0.11211094233279834	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
Root83	0.16045249244438337	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
Root935	0.04623805483225577	g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
LjNodule218	0.09647246136748538	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
LjRoot1	0.04523191970220072	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
LjRoot222	0.12157150727094616	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
LjRoot262	0.01860729080673767	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
LjRoot33	0.04059405348236562	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
LjRoot44	0.03806108608215936	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
LjRoot46	0.059602610267888115	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
LjRoot52	0.06813848685980652	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
LjRoot59	0.032567866699144084	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
LjRoot72	0.21552488228576328	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
LjRoot80	0.04032935577742871	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
LjRoot82	0.09959695543064846	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
Root123D2	0.057372381237515764	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
Root1310	0.021669598917237874	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
Root265	0.020529868665498115	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
Root418	0.04545423925974931	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
Root480	0.009425178754731455	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
Root61	0.048881437899956214	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
Root685	0.0963713945684715	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
Root68	0.02272288795640101	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
Root695	0.02198347407815929	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
Root720	0.1336876357990019	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
Root77	0.09403150706411359	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
Root83	0.054443068851444176	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
Root935	0.07517444027047056	g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
LjNodule218	0.06629640396645446	g5_c10	gifu	mixed	native	5	c10	competition	gifu_mixed
LjRoot222	0.207769368397928	g5_c10	gifu	mixed	native	5	c10	competition	gifu_mixed
LjRoot262	0.036724549022702	g5_c10	gifu	mixed	native	5	c10	competition	gifu_mixed
LjRoot33	0.016435435074942394	g5_c10	gifu	mixed	native	5	c10	competition	gifu_mixed
LjRoot44	0.12969473893243133	g5_c10	gifu	mixed	native	5	c10	competition	gifu_mixed
LjRoot59	0.04164962455858827	g5_c10	gifu	mixed	native	5	c10	competition	gifu_mixed
LjRoot72	0.13837597108451305	g5_c10	gifu	mixed	native	5	c10	competition	gifu_mixed
LjRoot80	0.03962658510243377	g5_c10	gifu	mixed	native	5	c10	competition	gifu_mixed
Root123D2	0.07271342884376972	g5_c10	gifu	mixed	native	5	c10	competition	gifu_mixed
Root265	0.046229796401339826	g5_c10	gifu	mixed	native	5	c10	competition	gifu_mixed
Root418	0.06864478747091642	g5_c10	gifu	mixed	native	5	c10	competition	gifu_mixed
Root480	0.03335738030137233	g5_c10	gifu	mixed	native	5	c10	competition	gifu_mixed
Root61	0.04706041931296911	g5_c10	gifu	mixed	native	5	c10	competition	gifu_mixed
Root68	0.11802539723361062	g5_c10	gifu	mixed	native	5	c10	competition	gifu_mixed
Root695	0.0801033422021534	g5_c10	gifu	mixed	native	5	c10	competition	gifu_mixed
Root77	0.14472036633896404	g5_c10	gifu	mixed	native	5	c10	competition	gifu_mixed
Root83	0.08108868357604469	g5_c10	gifu	mixed	native	5	c10	competition	gifu_mixed
Root935	0.07855537184848804	g5_c10	gifu	mixed	native	5	c10	competition	gifu_mixed
LjNodule218	0.08307294366180527	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
LjRoot17	0.06734259898946288	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
LjRoot222	0.11849992359949982	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
LjRoot262	0.03510425969783518	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
LjRoot33	0.047202350174446836	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
LjRoot44	0.04801710219656435	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
LjRoot46	0.016828061119792726	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
LjRoot52	0.17270666789228858	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
LjRoot59	0.019423600024208305	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
LjRoot72	0.08591634497706534	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
LjRoot80	0.016051743429627455	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
LjRoot82	0.07872197641975488	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
Root123D2	0.09319272030494404	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
Root1310	0.051261874971654325	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
Root142	0.048206053544552464	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
Root265	0.030736622770183332	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
Root29	0.0778734998295719	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
Root418	0.01957599796391469	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
Root480	0.04620266344078371	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
Root61	0.024139912693040413	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
Root685	0.1109433512091868	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
Root68	0.03557185949005496	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
Root695	0.08704997538157933	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
Root77	0.02594800924025825	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
Root83	0.0668633013276861	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
Root935	0.07932232587704614	g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
LjNodule218	0.09094234744003635	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
LjRoot17	0.08339469064568991	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
LjRoot222	0.10223661254999887	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
LjRoot262	0.018807634440650613	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
LjRoot33	0.022759673351747195	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
LjRoot44	0.04537525099379775	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
LjRoot46	0.18563285959084508	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
LjRoot52	0.02616866340033171	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
LjRoot59	0.02355928599659061	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
LjRoot72	0.06277709234768253	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
LjRoot80	0.020914642312998402	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
LjRoot82	0.06515981842526945	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
Root123D2	0.045785087721105296	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
Root1310	0.06064458890081603	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
Root142	0.05797263742487573	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
Root265	0.030043830992527925	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
Root418	0.02061531709145268	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
Root480	0.030134161609770376	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
Root61	0.03298777940141429	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
Root685	0.05717694651404378	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
Root68	0.03000310184415566	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
Root695	0.11504160142349389	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
Root77	0.044648109845635484	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
Root83	0.02815446912889659	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
Root935	0.07285625689618416	g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
LjNodule218	0.12156103166810162	g5_c13	col0	mixed	non-native	5	c13	competition	col0_mixed
LjRoot17	0.0854522237743424	g5_c13	col0	mixed	non-native	5	c13	competition	col0_mixed
LjRoot1	0.11681952242031926	g5_c13	col0	mixed	non-native	5	c13	competition	col0_mixed
LjRoot222	0.13707167991454736	g5_c13	col0	mixed	non-native	5	c13	competition	col0_mixed
LjRoot262	0.03846548664561851	g5_c13	col0	mixed	non-native	5	c13	competition	col0_mixed
LjRoot33	0.038896692672206135	g5_c13	col0	mixed	non-native	5	c13	competition	col0_mixed
LjRoot44	0.03459280999104825	g5_c13	col0	mixed	non-native	5	c13	competition	col0_mixed
LjRoot46	0.09787787468625136	g5_c13	col0	mixed	non-native	5	c13	competition	col0_mixed
LjRoot52	0.05249858728147619	g5_c13	col0	mixed	non-native	5	c13	competition	col0_mixed
LjRoot59	0.048900415124841855	g5_c13	col0	mixed	non-native	5	c13	competition	col0_mixed
LjRoot72	0.0716087610290534	g5_c13	col0	mixed	non-native	5	c13	competition	col0_mixed
LjRoot80	0.08053229126466008	g5_c13	col0	mixed	non-native	5	c13	competition	col0_mixed
LjRoot82	0.06567821306278573	g5_c13	col0	mixed	non-native	5	c13	competition	col0_mixed
Root123D2	0.049814557624875806	g5_c13	col0	mixed	non-native	5	c13	competition	col0_mixed
