line	generation	sample_type	weight	plant	syncom	condition
axenic_at	7	axenic	55.5	col0		
axenic_at	7	axenic	56.500000000000014	col0		
axenic_at	7	axenic	59.79999999999998	col0		
axenic_at	7	axenic	61.3	col0		
axenic_at	7	axenic	63.10000000000001	col0		
axenic_at	7	axenic	63.20000000000002	col0		
axenic_at	7	axenic	80.90000000000003	col0		
axenic_at	7	axenic	85.29999999999998	col0		
axenic_at	7	axenic	87.30000000000001	col0		
axenic_at	7	axenic	90.79999999999998	col0		
axenic_at	7	axenic	114.7	col0		
axenic_lj	7	axenic	27.2	gifu		
axenic_lj	7	axenic	41.20000000000002	gifu		
axenic_lj	7	axenic	49.599999999999994	gifu		
axenic_lj	7	axenic	50.39999999999999	gifu		
axenic_lj	7	axenic	54.0	gifu		
axenic_lj	7	axenic	56.2	gifu		
axenic_lj	7	axenic	57.80000000000001	gifu		
axenic_lj	7	axenic	60.20000000000002	gifu		
axenic_lj	7	axenic	68.1	gifu		
axenic_lj	7	axenic	73.8	gifu		
axenic_lj	7	axenic	75.9	gifu		
axenic_lj	7	axenic	77.79999999999998	gifu		
axenic_lj	7	axenic	96.60000000000001	gifu		
axenic_lj	7	axenic	122.39999999999998	gifu		
c1	7	competition	21.799999999999997	col0	mixed	native
c1	7	competition	97.9	col0	mixed	native
c1	7	competition	98.3	col0	mixed	native
c1	7	competition	194.89999999999998	col0	mixed	native
c10	7	competition	99.8	gifu	mixed	native
c10	7	competition	112.7	gifu	mixed	native
c10	7	competition	140.39999999999998	gifu	mixed	native
c11	7	competition	40.4	col0	mixed	non-native
c11	7	competition	43.1	col0	mixed	non-native
c11	7	competition	60.0	col0	mixed	non-native
c11	7	competition	70.1	col0	mixed	non-native
c12	7	competition	15.600000000000023	col0	mixed	non-native
c12	7	competition	21.400000000000006	col0	mixed	non-native
c12	7	competition	60.69999999999999	col0	mixed	non-native
c12	7	competition	64.6	col0	mixed	non-native
c13	7	competition	27.6	col0	mixed	non-native
c13	7	competition	50.900000000000006	col0	mixed	non-native
c13	7	competition	51.19999999999999	col0	mixed	non-native
c13	7	competition	57.4	col0	mixed	non-native
c15	7	competition	32.0	col0	mixed	non-native
c15	7	competition	63.80000000000001	col0	mixed	non-native
c15	7	competition	71.09999999999997	col0	mixed	non-native
c15	7	competition	101.0	col0	mixed	non-native
c16	7	competition	66.10000000000001	gifu	mixed	non-native
c16	7	competition	94.2	gifu	mixed	non-native
c17	7	competition	68.7	gifu	mixed	non-native
c17	7	competition	83.8	gifu	mixed	non-native
c17	7	competition	186.39999999999998	gifu	mixed	non-native
c18	7	competition	15.8	gifu	mixed	non-native
c18	7	competition	70.49999999999999	gifu	mixed	non-native
c18	7	competition	78.4	gifu	mixed	non-native
c19	7	competition	91.99999999999999	gifu	mixed	non-native
c19	7	competition	100.2	gifu	mixed	non-native
c19	7	competition	100.5	gifu	mixed	non-native
c2	7	competition	23.299999999999983	col0	mixed	native
c2	7	competition	40.50000000000001	col0	mixed	native
c2	7	competition	53.400000000000006	col0	mixed	native
c2	7	competition	55.9	col0	mixed	native
c20	7	competition	36.099999999999994	gifu	mixed	non-native
