line	generation	sample_type	weight	plant	syncom	condition
axenic_lj	4	axenic	43.6	gifu		
axenic_lj	4	axenic	47.6	gifu		
axenic_lj	4	axenic	55.2	gifu		
1	5	generation	5.800000000000004	col0	at	native
1	5	generation	27.899999999999977	col0	at	native
1	5	generation	28.900000000000006	col0	at	native
1	5	generation	55.5	col0	at	native
1	5	generation	62.6	col0	at	native
1	5	generation	99.0	col0	at	native
10	5	generation	38.10000000000001	col0	lj	non-native
10	5	generation	70.8	col0	lj	non-native
10	5	generation	139.29999999999998	col0	lj	non-native
11	5	generation	28.3	gifu	at	non-native
11	5	generation	40.2	gifu	at	non-native
11	5	generation	57.400000000000006	gifu	at	non-native
11	5	generation	72.1	gifu	at	non-native
11	5	generation	116.69999999999999	gifu	at	non-native
11	5	generation	126.69999999999999	gifu	at	non-native
12	5	generation	68.0	gifu	at	non-native
12	5	generation	71.4	gifu	at	non-native
12	5	generation	96.09999999999997	gifu	at	non-native
12	5	generation	102.0	gifu	at	non-native
12	5	generation	106.9	gifu	at	non-native
12	5	generation	107.5	gifu	at	non-native
13	5	generation	23.6	gifu	at	non-native
13	5	generation	26.1	gifu	at	non-native
13	5	generation	67.5	gifu	at	non-native
13	5	generation	89.19999999999999	gifu	at	non-native
13	5	generation	135.8	gifu	at	non-native
14	5	generation	27.2	gifu	at	non-native
14	5	generation	54.099999999999994	gifu	at	non-native
14	5	generation	59.80000000000001	gifu	at	non-native
14	5	generation	63.0	gifu	at	non-native
14	5	generation	63.2	gifu	at	non-native
14	5	generation	80.0	gifu	at	non-native
15	5	generation	56.89999999999999	gifu	at	non-native
15	5	generation	69.19999999999999	gifu	at	non-native
15	5	generation	73.0	gifu	at	non-native
15	5	generation	88.5	gifu	at	non-native
15	5	generation	92.2	gifu	at	non-native
15	5	generation	96.6	gifu	at	non-native
16	5	generation	21.3	gifu	lj	native
16	5	generation	75.19999999999999	gifu	lj	native
16	5	generation	101.20000000000002	gifu	lj	native
16	5	generation	101.49999999999994	gifu	lj	native
16	5	generation	104.8	gifu	lj	native
16	5	generation	113.30000000000001	gifu	lj	native
17	5	generation	32.70000000000002	gifu	lj	native
17	5	generation	50.80000000000001	gifu	lj	native
17	5	generation	53.599999999999994	gifu	lj	native
17	5	generation	57.5	gifu	lj	native
17	5	generation	64.2	gifu	lj	native
17	5	generation	90.8	gifu	lj	native
18	5	generation	10.600000000000001	gifu	lj	native
18	5	generation	27.900000000000006	gifu	lj	native
18	5	generation	30.9	gifu	lj	native
18	5	generation	42.19999999999999	gifu	lj	native
18	5	generation	51.5	gifu	lj	native
18	5	generation	86.9	gifu	lj	native
19	5	generation	22.700000000000003	gifu	lj	native
19	5	generation	31.900000000000006	gifu	lj	native
19	5	generation	32.099999999999994	gifu	lj	native
19	5	generation	59.5	gifu	lj	native
19	5	generation	87.29999999999998	gifu	lj	native
19	5	generation	95.39999999999999	gifu	lj	native
2	5	generation	26.39999999999999	col0	at	native
2	5	generation	31.400000000000006	col0	at	native
2	5	generation	51.8	col0	at	native
2	5	generation	62.5	col0	at	native
2	5	generation	65.20000000000002	col0	at	native
20	5	generation	28.9	gifu	lj	native
20	5	generation	45.89999999999998	gifu	lj	native
20	5	generation	66.70000000000005	gifu	lj	native
20	5	generation	76.19999999999999	gifu	lj	native
20	5	generation	110.4	gifu	lj	native
20	5	generation	132.2	gifu	lj	native
3	5	generation	20.900000000000006	col0	at	native
3	5	generation	33.00000000000003	col0	at	native
3	5	generation	50.89999999999999	col0	at	native
3	5	generation	78.3	col0	at	native
3	5	generation	88.5	col0	at	native
4	5	generation	22.0	col0	at	native
4	5	generation	36.5	col0	at	native
4	5	generation	39.4	col0	at	native
4	5	generation	101.6	col0	at	native
5	5	generation	26.1	col0	at	native
5	5	generation	188.1	col0	at	native
6	5	generation	54.69999999999999	col0	lj	non-native
6	5	generation	64.2	col0	lj	non-native
6	5	generation	68.90000000000003	col0	lj	non-native
6	5	generation	69.60000000000001	col0	lj	non-native
6	5	generation	73.79999999999998	col0	lj	non-native
6	5	generation	88.1	col0	lj	non-native
7	5	generation	31.700000000000003	col0	lj	non-native
7	5	generation	55.8	col0	lj	non-native
7	5	generation	62.5	col0	lj	non-native
7	5	generation	67.6	col0	lj	non-native
